pha_comsol_leg_2cm (Z3_leg_4cm=6000) X,pha_comsol_leg_2cm (Z3_leg_4cm=6000) Y
1,0.4718952695852406
1.99526231496888,1.372007877442213
3.981071705534973,2.088016396070251
7.943282347242817,3.160952470699876
15.84893192461114,4.031100636903353
31.62277660168381,6.455805876732372
63.09573444801936,4.660849526163113
125.8925411794168,-0.5109821946305446
251.1886431509582,-4.381453005478689
501.1872336272726,-5.974316209054984
1000.000000000001,-6.347257060799205
1995.262314968881,-6.383693982136225
3981.071705534976,-6.013652376961081
7943.282347242824,-4.892442283405257
15848.93192461115,-2.495681380851832
31622.77660168383,1.854686602702843
63095.73444801941,8.129585423592646
125892.5411794169,14.72106368860698
251188.6431509584,18.90293954727969
501187.2336272731,18.99699131290691
1000000,16.50323336506269
