pha_comsol_arm_2cm (Z3_leg_4cm=6000) X,pha_comsol_arm_2cm (Z3_leg_4cm=6000) Y
1,0.4141838450121686
1.99526231496888,1.672347476775123
3.981071705534973,2.137913650933895
7.943282347242817,2.689140200359599
15.84893192461114,3.904847608730245
31.62277660168381,6.503994656420895
63.09573444801936,5.565404657226156
125.8925411794168,1.849876300000622
251.1886431509582,-0.8094316692896008
501.1872336272726,-1.796568340510753
1000.000000000001,-1.887848749632245
1995.262314968881,-1.613856874545197
3981.071705534976,-0.7868755034226417
7943.282347242824,0.9597201639460788
15848.93192461115,4.105593451142607
31622.77660168383,9.137617942222512
63095.73444801941,15.8011419581392
125892.5411794169,22.1234141249662
251188.6431509584,25.01262913112826
501187.2336272731,23.32302203642325
1000000,19.42325901739847
