mag_comsol_leg_2cm (Z3_leg_4cm=6000) X,mag_comsol_leg_2cm (Z3_leg_4cm=6000) Y
1,35.65496799734283
1.99526231496888,36.35929966028664
3.981071705534973,35.85671391836166
7.943282347242817,34.72303990530946
15.84893192461114,33.6163981915246
31.62277660168381,31.30290408850631
63.09573444801936,27.93397145431527
125.8925411794168,25.8649654041746
251.1886431509582,25.68964102217918
501.1872336272726,25.74648448964366
1000.000000000001,25.2805654383368
1995.262314968881,24.50801681371129
3981.071705534976,23.64057200335078
7943.282347242824,22.65263208775412
15848.93192461115,21.44553703352098
31622.77660168383,19.66167805531872
63095.73444801941,16.86984935237064
125892.5411794169,13.27108672802894
251188.6431509584,9.662820973556576
501187.2336272731,6.804436564006683
1000000,4.949817991904429
