pha_comsol_arm_4cm (Z3_leg_4cm=6000) X,pha_comsol_arm_4cm (Z3_leg_4cm=6000) Y
1,0.3313475121005464
1.99526231496888,1.300569956321174
3.981071705534973,1.71895310714768
7.943282347242817,2.400919580675211
15.84893192461114,3.831397165577208
31.62277660168381,7.537911228000193
63.09573444801936,8.303553113231423
125.8925411794168,6.540455218535892
251.1886431509582,4.929642855415456
501.1872336272726,3.880206782288837
1000.000000000001,3.187357439194928
1995.262314968881,2.798210484441148
3981.071705534976,2.938988359065162
7943.282347242824,3.846410634682438
15848.93192461115,5.866133316628803
31622.77660168383,9.560644361988869
63095.73444801941,15.18656767324396
125892.5411794169,21.25361671954952
251188.6431509584,24.41827579560325
501187.2336272731,23.05738888454973
1000000,19.3514613571314
