mag_comsol_arm_2cm (Z3_leg_4cm=6000) X,mag_comsol_arm_2cm (Z3_leg_4cm=6000) Y
1,91.69426959297152
1.99526231496888,93.77247575517315
3.981071705534973,92.30734275671657
7.943282347242817,89.65798683337688
15.84893192461114,86.67382742282707
31.62277660168381,80.48295187703786
63.09573444801936,70.51594347218027
125.8925411794168,63.4010048957412
251.1886431509582,60.89764412741444
501.1872336272726,59.20017683726718
1000.000000000001,56.80538306360836
1995.262314968881,54.20160605192967
3981.071705534976,51.6209359497464
7943.282347242824,48.81512358518361
15848.93192461115,45.45492755061871
31622.77660168383,40.79160018616843
63095.73444801941,34.03276760992741
125892.5411794169,25.59174016260626
251188.6431509584,17.37185094661867
501187.2336272731,11.32502714376893
1000000,7.729120783762993
