% Model,BioZ_model_sensitivity_leg_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 23 2021, 11:31"
% Table,Table 2 - Transimpedance
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.006, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.008, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.01, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.012, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.006, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.008, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.01, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.012, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.05, Phase (deg)"
976.563,28.084936645363086+0.5129731629840535i,28.08962099851118,-1.0463947219623604,37.82945334659644+1.6006765866659407i,37.86330289392907,-2.422909401138924,50.11285844105191+1.7339723697223235i,50.142848356588885,-1.9817204879166204,62.90608858329824+1.1169381053368852i,62.91600377949095,-1.0172165676645686,75.09228191385341+0.09208527062946814i,75.09233837567388,-0.07026147805328474,17.438179495994746-0.9030550957631931i,17.461546685231394,2.964476122321769,18.62945209039208-0.39662680555920815i,18.633673765822508,1.2196606342341172,20.961451946389843+0.16327445983915823i,20.96208783136943,-0.44628341038749525,24.581228751176013+0.6531535415761027i,24.589904767333195,-1.5220613326316366,29.1798828867436+0.976868898007524i,29.19622986154148,-1.9174021288720453
1953.13,26.55254495655413+0.6252314938965355i,26.559905084370847,-1.3488916886065123,34.67331792049731+1.5089792435874188i,34.70613769887767,-2.4919340225623055,44.60228884632875+1.574573242810402i,44.63007339483452,-2.021845823197151,54.74286473640973+1.0329930591160519i,54.75261011320861,-1.081038039659173,64.27591540751632+0.1764299362366728i,64.27615754692089,-0.1572698774423837,16.888744201882446-0.619053666068794i,16.90008603996119,2.0992259441366454,17.98738072632591-0.14079271806531324i,17.987931731671125,0.4484623924647458,20.03260694718597+0.3665076041397697i,20.0359593961541,-1.0481409826312478,23.09282739655464+0.8002690431285373i,23.106689674387685,-1.9847589920008655,26.89391312892394+1.0877765476197965i,26.915902756616937,-2.316176574396909
3906.25,25.175236832843666+0.6436861785550718i,25.183464445668136,-1.4646324114242253,31.8729446743705+1.3850390878501457i,31.903023923922255,-2.488223182675389,39.84109200909006+1.3946124239946585i,39.865493302979964,-2.0047842491928782,47.83292229072276+0.8918262100146421i,47.84123544453249,-1.0681337408161597,55.252177153222874+0.13566713681530018i,55.252343712671006,-0.14068475012311582,16.458907248503692-0.4552283690291006i,16.465201507507167,1.5843103014932174,17.446836909759668+0.01284825146831281i,17.446841640632783,-0.04219392053634853,19.212507014969333+0.48951208007974856i,19.21874209923193,-1.459513298329025,21.77232371710852+0.8876292754530368i,21.790409949636274,-2.3345814395647375,24.888609265653713+1.1507864523373428i,24.915199791237214,-2.6473266786915373
7812.5,23.86005184988585+0.505494789173099i,23.865405910252655,-1.2136765726650922,29.299638275882216+1.1096647278384353i,29.320643903327753,-2.1689255209382376,35.59398108991536+1.0406824859987864i,35.6091913677623,-1.6747138355679845,41.78882828515725+0.5315048100674176i,41.792208206907226,-0.7286957233653311,47.46265382474485-0.18193266311413936i,47.463002513341635,0.2196236800622882,16.059492435321317-0.4161936600705758i,16.064884513834066,1.484530340447575,16.929136747259918+0.05049069110805249i,16.92921204065076,-0.17088260144782394,18.427678489874097+0.5030197187131762i,18.434542667600486,-1.5636126776304062,20.536540762705044+0.867650423592977i,20.554861316871172,-2.419256521176627,23.053422874247644+1.10184774862023i,23.07973948466542,-2.736392744945926
15625,22.497504391042185+0.16062243225417205i,22.498077771016476,-0.4090600867940031,26.778411740301408+0.6119264928710209i,26.785402542537785,-1.3090658572203464,31.578178909684084+0.45066214323583154i,31.581394516698634,-0.8176306204258506,36.19985331107114-0.07799762671277222i,36.199937339349646,0.1234515474044332,40.36499576840015-0.7611471115634458i,40.37217145891961,1.080276325133606,15.62067690803974-0.5066856120466809i,15.628892391171586,1.8578434258572691,16.365039724626286-0.04425204665585625i,16.36509955460796,0.15493083861624427,17.600399275722566+0.37735339095729614i,17.604444048209032,-1.2282360426383387,19.28569261372172+0.7002601062145004i,19.298401586849522,-2.0794861290180457,21.25358011793992+0.8965166088747765i,21.272480105988567,-2.4154135151587
31250,20.893233364182834-0.5198804479420573i,20.899700382789106,1.4253806365922017,24.008167595417035-0.24814259973032904i,24.009449932046206,0.5921741999636074,27.37317229238579-0.4819584655350013i,27.377414876338086,1.0087005151547497,30.531711112620087-0.986009676077515i,30.547628362048133,1.8497019384054156,33.324005081770565-1.5854818298662963i,33.36170060597491,2.723951273406159,15.058358241005408-0.7705049696636479i,15.078057926096845,2.9291516986647306,15.657219646315525-0.34295088896328707i,15.6609751409422,1.2547883608629327,16.606470827236535+0.01722936763206917i,16.606479765048554,-0.05944488176097118,17.85615641226582+0.2753031430180499i,17.858278574371532,-0.8833064710418959,19.2785761646619+0.42031804122774474i,19.283157578375267,-1.2489841001838118
62500,18.629966097512806-1.5787744165489244i,18.69674210799373,4.843889624379095,20.468848764885706-1.4428066397837256i,20.51963598019144,4.031991617094122,22.393359135623086-1.6342656492088565i,22.452914233773264,4.174041721722754,24.16008204952186-1.9783394710011066i,24.240944529909502,4.68119993788317,25.69363634597221-2.3638881631825654i,25.802149443933907,5.2565777317527065,14.18526130076998-1.2647195994130982i,14.241529195850495,5.094865771368064,14.573574131110718-0.9305595923197245i,14.603253202962613,3.653520606008968,15.16345321087988-0.6724857096295693i,15.178357958231164,2.5393530720164788,15.915209932679545-0.49677365865414913i,15.922961133821632,1.7878366478856191,16.750472057547995-0.40026832030221726i,16.755253769457916,1.368876153136224
125000,15.391422562196567-2.5352044813964767i,15.598818873574572,9.353510738327426,16.02284667093693-2.3698388329571287i,16.19715257489866,8.41326532550477,16.699963744697243-2.3606728799025234i,16.865988424047657,8.045906074826057,17.32227566666745-2.4208379307548853i,17.490617214924146,7.955723229689393,17.856365030519783-2.504055859415388i,18.03108615281515,7.982716549551921,12.67407457335662-1.8571475728661824i,12.809416981205958,8.336294173457738,12.762778507043777-1.623666116983884i,12.865644440885971,7.25015735522064,12.932134946624728-1.4463532474016176i,13.01276496344961,6.381543245813181,13.165580425402254-1.3138847810110121i,13.230978843438129,5.699074226520263,13.43152116483327-1.219550235652349i,13.486773653422222,5.188094724692043
250000,11.660577586458317-2.624559752402746i,11.952296161982702,12.684731945396917,11.536004523139013-2.353581844168275i,11.773646327925869,11.531260086395244,11.471434175178388-2.165223121972062i,11.673987887751688,10.688778330103167,11.42957474763125-2.0238035911679475i,11.60736662156039,10.041131223139773,11.394303919912772-1.9144919707475907i,11.554022733463725,9.537853041954827,10.431595943828597-2.0619813845189583i,10.633435999967459,11.181340430036485,10.23046748899867-1.8526809158754673i,10.39686931818939,10.264701697424451,10.062545016476747-1.6806114494492874i,10.201924673934867,9.481825559640134,9.925481154742329-1.5343219259360552i,10.043371940018613,8.787463274228857,9.811220659732157-1.408481408723631i,9.911804614331096,8.169464069807335
500000,8.454982685083905-1.9453248565798162i,8.6758873322961,12.957133512505683,8.035721856064015-1.662653149360203i,8.2059272019134,11.689984590527247,7.697056349783452-1.4483302802539555i,7.832134897487546,10.656556805282085,7.416834135097929-1.2795785905575983i,7.526403520737325,9.78851425336357,7.183516321271327-1.1467253730523197i,7.274468078091588,9.069766159738386,8.076796524594329-1.6753240510445409i,8.24871825047427,11.718363918618824,7.70090319966846-1.466251124052988i,7.8392475690879015,10.780079184204988,7.365782064341715-1.2938319474855717i,7.478552435312092,9.962621058394078,7.069078138299233-1.1486427366443692i,7.161790688216601,9.229235081706893,6.806014581386307-1.024591760772445i,6.882704610709791,8.561140032987538
1000000,6.288199656652978-1.2406776066629135i,6.409425547239429,11.161245571334762,5.8043489374136925-1.0189954313660188i,5.89311617706628,9.957220887459966,5.415803117848554-0.8553001391504793i,5.482924560791344,8.97441573508646,5.09878904372124-0.7301579593215592i,5.150803855509583,8.149477990998689,4.840275071568158-0.6342182124905094i,4.88164885151511,7.46490308518045,6.2802453296872045-1.1442920077628216i,6.383642032577313,10.326298021899305,5.840504331304601-0.9661728964181755i,5.919880143192165,9.393160110255614,5.461143126295724-0.8255245906578637i,5.523185230975679,8.59594174977008,5.133644386929632-0.7123056606529374i,5.182825874525627,7.899492305826941,4.849823662549284-0.6194418988356993i,4.889222619584439,7.278672168421021
