pha_comsol_leg_4cm (Z3_leg_4cm=6000) X,pha_comsol_leg_4cm (Z3_leg_4cm=6000) Y
1,0.3540298341242356
1.99526231496888,1.275848321029943
3.981071705534973,1.775344859276991
7.943282347242817,2.676342469049823
15.84893192461114,4.411720498638046
31.62277660168381,8.72057279165875
63.09573444801936,9.816417306731415
125.8925411794168,7.505726640749633
251.1886431509582,4.973988624153397
501.1872336272726,3.119524958075399
1000.000000000001,1.739568252734942
1995.262314968881,0.6545431221712593
3981.071705534976,-0.02663424265830266
7943.282347242824,-0.1956910374083547
15848.93192461115,0.3784852433106492
31622.77660168383,2.316542295156707
63095.73444801941,6.284796026896822
125892.5411794169,11.68608147119659
251188.6431509584,15.98994602034822
501187.2336272731,16.86406893038436
1000000,15.09056446762308
