mag_comsol_arm_4cm (Z3_leg_4cm=6000) X,mag_comsol_arm_4cm (Z3_leg_4cm=6000) Y
1,106.0670711355383
1.99526231496888,108.4035819992939
3.981071705534973,107.0129407703149
7.943282347242817,104.3935831756064
15.84893192461114,101.8097707422148
31.62277660168381,94.26865801218534
63.09573444801936,81.00750535572594
125.8925411794168,70.04138831291823
251.1886431509582,64.36995415323257
501.1872336272726,60.62526965217567
1000.000000000001,57.39616552669277
1995.262314968881,54.84157039455046
3981.071705534976,52.72461486808123
7943.282347242824,50.58801069924464
15848.93192461115,48.11494799433082
31622.77660168383,44.65980195889331
63095.73444801941,39.13751105474318
125892.5411794169,30.96740632879482
251188.6431509584,21.76345975696363
501187.2336272731,14.43730091720256
1000000,9.929180935729411
